gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
829199;4570000557;1200829199;G4_FLOG_RF1_MEMB_05;G00018;2012
829387;4570000557;1200829387;G4_FLOG_RF1_MEMB_05;G00018;2012
830225;4570000557;1200830225;G4_FLOG_RF1_MEMB_05;G00018;2012
830269;4570000557;1200830269;G4_FLOG_RF1_MEMB_05;G00018;2012
830278;4570000557;1200830278;G4_FLOG_RF1_MEMB_05;G00018;2012
830748;4570000557;1200830748;G4_FLOG_RF1_MEMB_05;G00018;2012
830762;4570000557;1200830762;G4_FLOG_RF1_MEMB_05;G00018;2012
831217;4570000557;1200831217;G4_FLOG_RF1_MEMB_05;G00018;2012
831368;4570000557;1200831368;G4_FLOG_RF1_MEMB_05;G00018;2012
831544;4570000557;1200831544;G4_FLOG_RF1_MEMB_05;G00018;2012
831799;4570000557;1200831799;G4_FLOG_RF1_MEMB_05;G00018;2012
831859;4570000557;1200831859;G4_FLOG_RF1_MEMB_05;G00018;2012
831923;4570000557;1200831923;G4_FLOG_RF1_MEMB_05;G00018;2012
832410;4570000557;1200832410;G4_FLOG_RF1_MEMB_05;G00018;2012
832530;4570000557;1200832530;G4_FLOG_RF1_MEMB_05;G00018;2012
833373;4570000557;1200833373;G4_FLOG_RF1_MEMB_05;G00018;2012
834021;4570000557;1200834021;G4_FLOG_RF1_MEMB_05;G00018;2012
835087;4570000557;1200835087;G4_FLOG_RF1_MEMB_05;G00018;2012
834623;4570000557;1200834623;G4_FLOG_RF1_MEMB_05;G00018;2012
834380;4570000557;1200834380;G4_FLOG_RF1_MEMB_05;G00018;2012
835358;4570000557;1200835358;G4_FLOG_RF1_MEMB_05;G00018;2012
839057;4570000557;1200839057;G4_FLOG_RF1_MEMB_05;G00018;2012
840352;4570000557;1200840352;G4_FLOG_RF1_MEMB_05;G00018;2012
842745;4570000557;1200842745;G4_FLOG_RF1_MEMB_05;G00018;2012
842749;4570000557;1200842749;G4_FLOG_RF1_MEMB_05;G00018;2012
842775;4570000557;1200842775;G4_FLOG_RF1_MEMB_05;G00018;2012
842791;4570000557;1200842791;G4_FLOG_RF1_MEMB_05;G00018;2012
843890;4570000557;1200843890;G4_FLOG_RF1_MEMB_05;G00018;2012
844006;4570000557;1200844006;G4_FLOG_RF1_MEMB_05;G00018;2012
844336;4570000557;1200844336;G4_FLOG_RF1_MEMB_05;G00018;2012
844430;4570000557;1200844430;G4_FLOG_RF1_MEMB_05;G00018;2012
844551;4570000557;1200844551;G4_FLOG_RF1_MEMB_05;G00018;2012
846325;4570000557;1200846325;G4_FLOG_RF1_MEMB_05;G00018;2012
846560;4570000557;1200846560;G4_FLOG_RF1_MEMB_05;G00018;2012
847083;4570000557;1200847083;G4_FLOG_RF1_MEMB_05;G00018;2012
847606;4570000557;1200847606;G4_FLOG_RF1_MEMB_05;G00018;2012
851432;4570000557;1200851432;G4_FLOG_RF1_MEMB_05;G00018;2012
851977;4570000557;1200851977;G4_FLOG_RF1_MEMB_05;G00018;2012
853251;4570000557;1200853251;G4_FLOG_RF1_MEMB_05;G00018;2012
853480;4570000557;1200853480;G4_FLOG_RF1_MEMB_05;G00018;2012
853991;4570000557;1200853991;G4_FLOG_RF1_MEMB_05;G00018;2012
854024;4570000557;1200854024;G4_FLOG_RF1_MEMB_05;G00018;2012
855676;4570000557;1200855676;G4_FLOG_RF1_MEMB_05;G00018;2012
855748;4570000557;1200855748;G4_FLOG_RF1_MEMB_05;G00018;2012
855933;4570000557;1200855933;G4_FLOG_RF1_MEMB_05;G00018;2012
